Book Name,Total Tokens,Unique Tokens,Min Colors
AbsalomAbsalom.txt,23,20,2
AbsalomAbsalom.txt,38,31,3
AbsalomAbsalom.txt,23,20,3
AbsalomAbsalom.txt,17,14,2
AbsalomAbsalom.txt,18,17,3
AbsalomAbsalom.txt,14,14,2
AbsalomAbsalom.txt,235,152,4
AbsalomAbsalom.txt,150,108,3
AbsalomAbsalom.txt,180,123,3
AbsalomAbsalom.txt,11,10,3
AbsalomAbsalom.txt,158,110,4
AbsalomAbsalom.txt,81,62,3
AbsalomAbsalom.txt,38,31,3
AbsalomAbsalom.txt,70,52,3
AbsalomAbsalom.txt,155,90,3
AbsalomAbsalom.txt,37,30,3
AbsalomAbsalom.txt,28,23,3
AbsalomAbsalom.txt,35,27,3
AbsalomAbsalom.txt,7,6,2
AbsalomAbsalom.txt,27,19,3
AbsalomAbsalom.txt,73,62,3
AbsalomAbsalom.txt,32,27,3
AbsalomAbsalom.txt,35,29,3
AbsalomAbsalom.txt,82,68,3
AbsalomAbsalom.txt,127,90,3
AbsalomAbsalom.txt,32,28,3
AbsalomAbsalom.txt,64,50,3
AbsalomAbsalom.txt,283,168,3
AbsalomAbsalom.txt,31,26,3
AbsalomAbsalom.txt,142,94,3
AbsalomAbsalom.txt,16,16,2
AbsalomAbsalom.txt,34,26,3
AbsalomAbsalom.txt,139,84,3
AbsalomAbsalom.txt,27,22,3
AbsalomAbsalom.txt,9,9,2
AbsalomAbsalom.txt,47,39,3
AbsalomAbsalom.txt,11,10,3
AbsalomAbsalom.txt,101,70,3
AbsalomAbsalom.txt,53,41,3
AbsalomAbsalom.txt,18,17,3
AbsalomAbsalom.txt,15,12,3
AbsalomAbsalom.txt,39,27,3
AbsalomAbsalom.txt,43,31,3
AbsalomAbsalom.txt,50,38,3
AbsalomAbsalom.txt,38,32,3
AbsalomAbsalom.txt,120,84,3
AbsalomAbsalom.txt,76,53,3
AbsalomAbsalom.txt,332,175,4
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,52,40,3
AbsalomAbsalom.txt,30,26,3
AbsalomAbsalom.txt,60,48,3
AbsalomAbsalom.txt,241,127,4
AbsalomAbsalom.txt,51,42,3
AbsalomAbsalom.txt,264,149,4
AbsalomAbsalom.txt,14,14,2
AbsalomAbsalom.txt,15,13,3
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,166,86,4
AbsalomAbsalom.txt,42,35,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,127,87,3
AbsalomAbsalom.txt,66,57,3
AbsalomAbsalom.txt,59,43,3
AbsalomAbsalom.txt,13,11,3
AbsalomAbsalom.txt,26,21,3
AbsalomAbsalom.txt,107,69,3
AbsalomAbsalom.txt,71,48,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,21,21,2
AbsalomAbsalom.txt,52,37,3
AbsalomAbsalom.txt,121,81,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,48,37,3
AbsalomAbsalom.txt,56,44,3
AbsalomAbsalom.txt,106,72,3
AbsalomAbsalom.txt,123,78,3
AbsalomAbsalom.txt,92,65,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,41,34,3
AbsalomAbsalom.txt,82,60,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,243,125,3
AbsalomAbsalom.txt,37,30,3
AbsalomAbsalom.txt,79,54,4
AbsalomAbsalom.txt,231,131,4
AbsalomAbsalom.txt,101,74,3
AbsalomAbsalom.txt,123,76,3
AbsalomAbsalom.txt,36,31,3
AbsalomAbsalom.txt,22,21,3
AbsalomAbsalom.txt,57,46,3
AbsalomAbsalom.txt,98,61,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,56,47,3
AbsalomAbsalom.txt,17,15,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,13,13,2
AbsalomAbsalom.txt,185,106,4
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,31,27,3
AbsalomAbsalom.txt,242,130,5
AbsalomAbsalom.txt,28,25,3
AbsalomAbsalom.txt,51,39,3
AbsalomAbsalom.txt,126,75,3
AbsalomAbsalom.txt,100,64,3
AbsalomAbsalom.txt,68,52,3
AbsalomAbsalom.txt,8,7,2
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,62,41,3
AbsalomAbsalom.txt,5,5,2
AbsalomAbsalom.txt,63,47,3
AbsalomAbsalom.txt,34,28,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,13,12,3
AbsalomAbsalom.txt,69,52,3
AbsalomAbsalom.txt,50,40,3
AbsalomAbsalom.txt,45,35,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,55,43,3
AbsalomAbsalom.txt,66,41,3
AbsalomAbsalom.txt,111,73,3
AbsalomAbsalom.txt,52,44,3
AbsalomAbsalom.txt,65,48,3
AbsalomAbsalom.txt,178,103,4
AbsalomAbsalom.txt,21,20,3
AbsalomAbsalom.txt,140,91,3
AbsalomAbsalom.txt,4,4,2
AbsalomAbsalom.txt,33,29,3
AbsalomAbsalom.txt,14,13,3
AbsalomAbsalom.txt,3,3,2
AbsalomAbsalom.txt,19,16,2
AbsalomAbsalom.txt,14,14,2
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,19,17,3
AbsalomAbsalom.txt,13,12,3
AbsalomAbsalom.txt,35,27,3
AbsalomAbsalom.txt,20,18,3
AbsalomAbsalom.txt,31,24,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,60,51,3
AbsalomAbsalom.txt,7,7,2
AbsalomAbsalom.txt,18,16,3
AbsalomAbsalom.txt,99,66,3
AbsalomAbsalom.txt,70,55,3
AbsalomAbsalom.txt,97,62,3
AbsalomAbsalom.txt,147,99,3
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,51,36,3
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,237,130,4
AbsalomAbsalom.txt,87,60,3
AbsalomAbsalom.txt,31,26,3
AbsalomAbsalom.txt,59,35,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,29,23,3
AbsalomAbsalom.txt,10,10,2
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,55,35,3
AbsalomAbsalom.txt,14,12,2
AbsalomAbsalom.txt,48,38,3
AbsalomAbsalom.txt,92,70,3
AbsalomAbsalom.txt,91,61,3
AbsalomAbsalom.txt,106,66,3
AbsalomAbsalom.txt,86,62,3
AbsalomAbsalom.txt,74,52,3
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,2,2,2
AbsalomAbsalom.txt,19,17,3
AbsalomAbsalom.txt,45,37,3
AbsalomAbsalom.txt,136,85,3
AbsalomAbsalom.txt,81,65,3
AbsalomAbsalom.txt,110,78,3
AbsalomAbsalom.txt,58,45,3
AbsalomAbsalom.txt,65,46,3
AbsalomAbsalom.txt,36,29,3
AbsalomAbsalom.txt,11,11,2
AbsalomAbsalom.txt,21,17,3
AbsalomAbsalom.txt,175,101,4
AbsalomAbsalom.txt,85,56,3
AbsalomAbsalom.txt,86,62,3
AbsalomAbsalom.txt,45,38,3
AbsalomAbsalom.txt,113,74,3
AbsalomAbsalom.txt,130,90,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,55,49,3
AbsalomAbsalom.txt,74,51,3
AbsalomAbsalom.txt,48,45,3
AbsalomAbsalom.txt,135,86,4
AbsalomAbsalom.txt,117,80,3
AbsalomAbsalom.txt,43,38,3
AbsalomAbsalom.txt,28,25,3
AbsalomAbsalom.txt,29,27,2
AbsalomAbsalom.txt,117,78,3
AbsalomAbsalom.txt,89,69,3
AbsalomAbsalom.txt,47,37,3
AbsalomAbsalom.txt,94,72,4
AbsalomAbsalom.txt,106,73,3
AbsalomAbsalom.txt,41,38,3
AbsalomAbsalom.txt,96,68,3
AbsalomAbsalom.txt,34,31,3
AbsalomAbsalom.txt,44,35,3
AbsalomAbsalom.txt,140,89,4
AbsalomAbsalom.txt,22,21,2
AbsalomAbsalom.txt,89,67,3
AbsalomAbsalom.txt,23,20,3
AbsalomAbsalom.txt,70,52,3
AbsalomAbsalom.txt,26,24,3
AbsalomAbsalom.txt,48,40,3
AbsalomAbsalom.txt,29,27,3
AbsalomAbsalom.txt,131,95,3
AbsalomAbsalom.txt,100,68,3
AbsalomAbsalom.txt,35,32,3
AbsalomAbsalom.txt,55,40,3
AbsalomAbsalom.txt,8,8,2
AbsalomAbsalom.txt,36,32,3
AbsalomAbsalom.txt,6,6,2
AbsalomAbsalom.txt,37,34,3
AbsalomAbsalom.txt,70,54,3
